"dt_competencia_conta","dt_inicio_conta","vl_total_conta","vl_inicio_prod","qt"
20171201,20171125,"34860.77","32570.53","4"
20171201,20171126,"33313.81","32926.78","3"
20171201,20171127,"154053.14","124239.63","7"
20171201,20171128,"26175.77","25845.50","5"
20171201,20171129,"34617.19","31811.57","6"
20171201,20171201,"536768.59","393597.08","1944"
20171202,20171127,"34136.56","25455.07","2"
20171202,20171128,"42106.87","25585.52","3"
20171202,20171130,"4206.33","1728.45","1"
20171202,20171201,"41908.14","0.00","7"
20171202,20171202,"380013.07","159986.54","523"
20171203,20171127,"43025.50","30665.11","2"
20171203,20171128,"9854.77","6263.84","1"
20171203,20171129,"144550.67","64974.98","10"
20171203,20171201,"9923.10","0.00","3"
20171203,20171202,"10216.15","0.00","2"
20171203,20171203,"287874.34","82395.73","231"
20171204,20171127,"89.76","29.92","1"
20171204,20171129,"5275.99","2494.42","1"
20171204,20171130,"10425.37","1646.68","1"
20171204,20171201,"16242.63","0.00","4"
20171204,20171202,"38211.21","0.00","4"
20171204,20171203,"1667.62","0.00","2"
20171204,20171204,"652359.44","365703.03","2341"
20171205,20171127,"69168.26","60434.60","2"
20171205,20171128,"7647.46","4671.32","1"
20171205,20171130,"15741.95","2570.30","2"
20171205,20171201,"79751.69","0.00","2"
20171205,20171202,"15369.37","0.00","3"
20171205,20171203,"9825.70","0.00","3"
20171205,20171204,"60110.94","0.00","9"
20171205,20171205,"653432.63","458873.47","2242"
20171206,20171130,"25949.29","4955.21","1"
20171206,20171201,"6460.40","0.00","1"
20171206,20171202,"45455.68","0.00","5"
20171206,20171204,"21729.02","0.00","4"
20171206,20171205,"25852.79","0.00","5"
20171206,20171206,"633572.20","380325.03","2249"
20171207,20171207,"570721.74","340373.92","2066"
20171208,20171203,"305.00","0.00","1"
20171208,20171206,"7642.54","0.00","2"
20171208,20171207,"43820.86","0.00","8"
20171208,20171208,"443357.38","307480.60","1753"
20171209,20171203,"11101.88","0.00","1"
20171209,20171206,"22023.56","0.00","2"
20171209,20171207,"102510.68","0.00","9"
20171209,20171208,"45467.80","0.00","11"
20171209,20171209,"301077.20","169305.94","560"
20171210,20171206,"20957.91","0.00","2"
20171210,20171207,"13833.40","0.00","2"
20171210,20171208,"15218.36","0.00","2"
20171210,20171209,"17532.57","0.00","2"
20171210,20171210,"259145.09","84523.01","256"
20171211,20171204,"29214.22","0.00","1"
20171211,20171205,"7345.43","0.00","1"
20171211,20171209,"6661.66","0.00","1"
20171211,20171211,"646530.67","329696.35","2310"
20171212,20171208,"55781.45","0.00","3"
20171212,20171212,"449109.02","199136.44","2196"
20171213,20171209,"58784.35","0.00","2"
20171213,20171211,"720.11","0.00","1"
20171213,20171212,"1668.09","0.00","1"
20171213,20171213,"583397.88","432783.96","2071"
20171214,20171210,"28424.93","0.00","2"
20171214,20171213,"24585.04","0.00","2"
20171214,20171214,"533074.82","206068.57","2251"
20171215,20171211,"13991.11","0.00","2"
20171215,20171212,"2119.51","0.00","1"
20171215,20171215,"438120.35","207306.06","1885"
20171216,20171210,"10722.94","0.00","1"
20171216,20171211,"8036.78","0.00","1"
20171216,20171215,"1527.36","0.00","1"
20171216,20171216,"178070.10","93825.53","550"
20171217,20171205,"4870.63","0.00","1"
20171217,20171213,"32970.66","0.00","2"
20171217,20171217,"246435.48","39348.88","260"
20171218,20171216,"2438.46","0.00","1"
20171218,20171218,"710889.98","321024.10","2090"
20171219,20171215,"7806.98","0.00","1"
20171219,20171217,"5385.42","0.00","1"
20171219,20171218,"4642.10","0.00","2"
20171219,20171219,"525571.76","352497.80","1856"
20171220,20171215,"10893.45","0.00","1"
20171220,20171217,"119.68","0.00","1"
20171220,20171219,"54725.18","0.00","8"
20171220,20171220,"371345.40","186053.17","1807"
20171221,20171220,"11992.22","0.00","1"
20171221,20171221,"429264.71","282813.35","1690"
20171222,20171220,"1453.16","0.00","1"
20171222,20171222,"333049.69","183086.01","1355"
20171223,20171222,"1424.39","0.00","1"
20171223,20171223,"165593.49","98877.79","327"
20171224,20171222,"6110.63","0.00","2"
20171224,20171224,"176192.64","60129.55","237"
20171225,20171222,"6386.65","0.00","1"
20171225,20171223,"14036.34","0.00","1"
20171225,20171225,"80575.50","37199.36","198"
20171226,20171225,"2260.02","0.00","1"
20171226,20171226,"337644.51","210109.17","1422"
20171227,20171225,"7188.51","0.00","1"
20171227,20171227,"333864.87","220928.52","1684"
20171228,20171227,"2878.21","0.00","2"
20171228,20171228,"293090.80","267904.25","1542"
20171229,20171229,"268055.39","268055.39","1174"
20171230,20171230,"153649.46","153649.46","329"
20171231,20171231,"9.90","9.90","1"
